"[Fe/H]","Cluster","RA_ICRS","DE_ICRS","RV-LRS","e_RV-LRS","RV-HRS","e_RV-HRS","RV-GaiaDR3","e_RV-GaiaDR3","Rgc","Lz","Rguiding","Rbirth","[Fe/H]ANN","e_[Fe/H]ANN","[Fe/H]MCMC","e_[Fe/H]MCMC","Nmemb"
"*","ADS_16795",352.59217,58.55341,-20.01,"nan","nan","nan","nan","nan",8.199,1719.14949224266,7.79412547911232,13.30919912,-0.253031149574083,0.057,-0.574477160663435,0.044102125387627,1.0
"*","ASCC_100",285.40308,33.60094,-21.895,4.16485894118877,"nan","nan",-14.395,4.16485894118877,7.963,1723.86306337481,7.81781302945647,9.888138482,-0.016692795246567,0.111474932212826,-0.000140289049276,0.163242587966708,1.0
"*","ASCC_101",288.34471,36.3599,-22.94,"nan","nan","nan","nan","nan",7.981,1705.06149669545,7.72343511300669,10.71052399,-0.061593748629093,0.084388778,-0.019902170555277,0.075140951021612,1.0
"*","ASCC_105",295.47158,27.38609,-18.44875,3.24706213368331,"nan","nan","nan","nan",7.872,1684.9888860715,7.62299777826294,11.28656459,-0.111285506747663,0.165263934276511,-0.087005802863014,0.165248944083646,1.0
"*","ASCC_108",298.38721,39.3426,-14.962,3.49534547648727,-19.5641666666667,69.4882918437823,13.175,3.49534547648727,7.887,1723.57539792237,7.81636688529427,10.69635403,-0.045402126200497,0.261513833264236,-0.022026499888036,0.115958147579502,2.0
"*","ASCC_11",53.05042,44.84077,-18.3893103448276,11.0880733644741,-10.94,0.0,"nan","nan",8.888,1878.42455248396,8.60381985867054,13.913746,-0.266297062193709,0.142451913668956,-0.253726214372048,0.15682943596726,2.0
"*","ASCC_113",317.96258,38.5453,-11.6077777777778,6.72767749260058,"nan","nan",-5.395,6.72767749260058,8.073,1786.69405532706,8.13522542195442,10.86125404,-0.072863144593107,0.057110530633596,-0.039458094725998,0.070644505367382,6.0
"*","ASCC_12",72.42058,41.7143,-14.7071428571429,18.7117562994371,"nan","nan",-14.2625,18.7117562994371,9.138,1949.2296775798,8.96933166116065,12.36372095,-0.15131330942469,0.141600099678454,-0.125900933164599,0.151714692932794,2.0
"*","ASCC_123",340.56271,54.19891,-32.76,"nan",-5.6,0.0,"nan","nan",8.268,1788.3499773305,8.14363147869541,9.480654363,0.067823983728886,0.098683059,0.094566570390395,0.030280670073184,1.0
"*","ASCC_128",350.16146,54.57336,-18.6788888888889,6.9542620824291,"nan","nan",-14.76,6.9542620824291,8.37,1795.31464402272,8.17900876369518,11.75160614,-0.131018906003899,0.259588389937087,-0.115547646726345,0.254287465431071,1.0
